id,distrito_id,codigo,barrio
3442,285,14,Puebla (parte)
3443,285,15,Rancho Chico
3444,285,16,San Fernando
3445,285,17,San Vicente.
3446,286,01,Burío
3447,286,02,Carbonal
3448,286,03,Cubujuquí
3449,286,04,España
3450,286,05,Labrador
3451,286,06,Mercedes Sur
3452,286,07,Monte Bello
3453,286,08,San Jorge
3454,286,09,Santa Inés.
3455,287,01,Aries
3456,287,02,Aurora (parte)
3457,287,03,Bernardo Benavides
3458,287,04,Chucos
3459,287,05,El Cristo (parte)
3460,287,06,Esmeralda
3461,287,07,Esperanza
3462,287,08,Granada
3463,287,09,Gran Samaria
3464,287,10,Guararí
3465,287,11,Lagos
3466,287,12,Malinches
3467,287,13,Mayorga (parte)
3468,287,14,Nísperos 3
3469,287,15,Palma
3470,287,16,Trébol
3471,287,17,Tropical.
3472,288,01,Arcos
3473,288,02,Aurora (parte)
3474,288,03,Bajos del Virilla (San Rafael)
3475,288,04,Cariari (parte)
3476,288,05,Carpintera
3477,288,06,El Cristo (parte)
3478,288,07,Lagunilla
3479,288,08,Linda del Norte
3480,288,09,Mayorga (parte)
3481,288,10,Monterrey
3482,288,11,Pitahaya
3483,288,12,Pueblo Nuevo
3484,288,13,Valencia (parte)
3485,288,14,Vista Nosara.
3486,289,01,Jesús María
3487,289,02,Legua
3488,289,03,Legua de Barva
3489,289,04,Montaña Azul
3490,289,05,San Rafael
3491,289,06,Virgen del Socorro (parte).
3492,290,01,Don Abraham
3493,290,02,San Bartolomé.
3494,291,01,Bosque
3495,291,02,Calle Amada
3496,291,03,Calle Los Naranjos
3497,291,04,Espinos
3498,291,05,Máquina
3499,291,06,Mirador
3500,291,07,Morazán
3501,291,08,Puente Salas
3502,291,09,Segura
3503,291,10,Vista Llana.
3504,292,01,Barrios (Barva):Cementerio
3505,292,02,Ibís.
3506,292,03,Buenavista.
3507,293,01,Bello Higuerón
3508,293,02,Los Luises
3509,293,03,Plantación
3510,293,04,Pórtico.
3511,294,01,Doña Iris
3512,294,02,Jardines del Beneficio
3513,294,03,Paso Viga (parte)
3514,294,04,Pedregal.
